Question,Categories,1,2,3,4
1,Socializer,0.036,0.0614,0.7167,0.1721
1,Influencer,0.1351,0.0263,0.1667,0.5902
1,Achiever,0.8018,0.0614,0.0917,0.2049
1,Explorer,0.027,0.8509,0.025,0.0328
2,Socializer,0.5397,0.0545,0.0991,0.4677
2,Influencer,0.2381,0.0818,0.0721,0.4839
2,Achiever,0.0952,0.0909,0.7838,0.0242
2,Explorer,0.127,0.7727,0.045,0.042
3,Socializer,0.1066,0.0517,0.0278,0.8273
3,Influencer,0.7869,0.069,0.037,0.1
3,Achiever,0.0492,0.8362,0.0648,0.0273
3,Explorer,0.0574,0.0431,0.8704,0.0455
4,Socializer,0.0175,0.9048,0,0.0982
4,Influencer,0.0088,0.0857,0.1316,0.8214
4,Achiever,0.2368,0,0.807,0.0268
4,Explorer,0.7368,0.0095,0.0614,0.0536
5,Socializer,0.2114,0.0357,0.7623,0.045
5,Influencer,0.7561,0.0179,0.082,0.045
5,Achiever,0.0325,0.1696,0.082,0.8559
5,Explorer,0,0.7768,0.0738,0.0541
6,Socializer,0.0476,0.1983,0.0185,0.8198
6,Influencer,0.0857,0.681,0.0556,0.0991
6,Achiever,0.1048,0.0517,0.8519,0.0541
6,Explorer,0.7619,0.069,0.0741,0.027
7,Socializer,0.2595,0.0714,0.0091,0.7477
7,Influencer,0.458,0.2946,0.0364,0.1441
7,Achiever,0.2595,0.375,0.4455,0.0721
7,Explorer,0.0229,0.2589,0.5091,0.036
8,Socializer,0.0093,0.5692,0.0885,0.3615
8,Influencer,0.0748,0.3846,0.6726,0.1769
8,Achiever,0.8131,0.0308,0.1062,0.1
8,Explorer,0.1028,0.0154,0.1327,0.3615
