Response ID,Timestamp (mm/dd/yyyy),Region,You are one step away from reaching the next level in an online game. What would you choose to accelerate your progress towards that goal? ,What approach would you prefer to earn a free smartwatch from the fitness program organized by your community? ,Your favorite restaurant is offering a promotion. Which of the following activities would you choose to do in order to receive the giveaway? ,When playing board games with your friends which of the following options best describes your strategy?,You participate in a lottery to win a pair of concert tickets featuring a popular band. What would you do to win the tickets?,When engaging in a new game for the very first time which of the following options best reflects your approach to playing?,When looking for a credit card which of the following factors holds the highest importance to you?,When coordinating an event what matters most to you?
129061288,4/6/2024 12:47,KY,1,2,3,2,3,1,3,2
129061294,4/6/2024 12:47,MA,3,3,3,3,2,1,2,2
129061329,4/6/2024 12:48,NY,2,2,3,1,2,3,3,2
129061393,4/6/2024 12:50,TX,2,1,3,1,1,1,3,2
129061396,4/6/2024 12:50,WI,3,3,1,3,4,1,3,2
129061398,4/6/2024 12:50,TX,1,3,1,2,1,1,3,4
129061455,4/6/2024 12:52,AZ,1,3,1,1,4,2,2,4
129061594,4/6/2024 12:55,,3,3,2,1,4,1,3,2
129061620,4/6/2024 12:55,PA,1,1,4,1,2,1,3,2
129061660,4/6/2024 12:56,NE,1,3,3,1,3,1,3,2
129061665,4/6/2024 12:56,OH,2,3,3,1,2,1,2,1
129061760,4/6/2024 12:58,MI,1,3,4,2,2,1,2,4
129061773,4/6/2024 12:59,PA,1,3,1,1,2,1,3,2
129061790,4/6/2024 12:59,AZ,1,3,1,2,1,1,3,4
129061809,4/6/2024 12:59,MO,2,3,1,1,2,1,3,4
129061829,4/6/2024 13:00,CA,3,3,4,1,4,1,2,2
129061895,4/6/2024 13:01,AL,2,3,1,3,4,1,3,3
129061938,4/6/2024 13:03,CA,3,3,1,3,3,1,3,4
129061945,4/6/2024 13:03,TX,2,1,4,2,2,1,3,2
129062031,4/6/2024 13:05,MI,2,3,1,2,2,1,3,4
129062043,4/6/2024 13:05,NY,2,3,3,2,4,1,3,2
129062112,4/6/2024 13:07,FL,1,1,1,2,1,1,3,4
129062130,4/6/2024 13:07,,1,3,1,2,4,4,3,4
129062165,4/6/2024 13:08,NM,3,3,4,1,1,1,3,2
129062204,4/6/2024 13:08,CO,1,3,3,1,2,1,3,4
129062227,4/6/2024 13:08,NY,1,3,4,1,2,1,3,2
129062246,4/6/2024 13:08,,1,3,1,1,2,1,3,4
129062269,4/6/2024 13:09,WA,2,3,1,1,4,4,3,2
129062286,4/6/2024 13:09,OK,1,2,3,1,1,1,3,4
129062318,4/6/2024 13:10,UT,1,2,3,2,2,3,3,2
129062328,4/6/2024 13:10,GA,1,2,1,1,3,1,3,4
129062332,4/6/2024 13:10,MA,2,2,1,3,2,1,3,2
129062334,4/6/2024 13:10,TX,1,3,3,1,1,1,3,4
129062353,4/6/2024 13:10,WI,2,1,4,1,2,1,3,3
129062362,4/6/2024 13:10,WA,1,3,4,1,2,1,3,4
129062369,4/6/2024 13:10,CA,1,3,3,2,1,1,3,2
129062391,4/6/2024 13:11,OK,2,3,1,1,3,1,3,2
129062402,4/6/2024 13:11,KS,1,3,4,1,2,1,3,2
129062414,4/6/2024 13:11,AZ,2,1,4,2,2,1,3,2
129062422,4/6/2024 13:11,NY,1,1,1,1,1,1,1,1
