Response ID,Timestamp (mm/dd/yyyy),Region,You are one step away from reaching the next level in an online game. What would you choose to accelerate your progress towards that goal? ,What approach would you prefer to earn a free smartwatch from the fitness program organized by your community? ,Your favorite restaurant is offering a promotion. Which of the following activities would you choose to do in order to receive the giveaway? ,When playing board games with your friends which of the following options best describes your strategy?,You participate in a lottery to win a pair of concert tickets featuring a popular band. What would you do to win the tickets?,When engaging in a new game for the very first time which of the following options best reflects your approach to playing?,When looking for a credit card which of the following factors holds the highest importance to you?,When coordinating an event what matters most to you?
128758161,4/3/2024 12:06,NC,2,3,1,3,2,1,3,2
128758809,4/3/2024 12:11,AR,2,3,3,2,2,1,3,4
128758944,4/3/2024 12:12,VA,2,1,4,1,1,4,3,4
128758981,4/3/2024 12:13,WA,2,2,3,1,2,1,3,4
128759005,4/3/2024 12:13,NY,1,1,1,1,2,1,3,1
128759473,4/3/2024 12:15,IL,1,2,3,3,3,1,3,4
128759698,4/3/2024 12:17,NV,1,3,1,1,1,1,3,4
128759914,4/3/2024 12:18,NE,1,3,1,1,1,1,3,4
128759955,4/3/2024 12:18,NE,2,1,4,1,2,1,3,2
128759958,4/3/2024 12:18,MA,1,3,3,3,4,1,3,2
128760409,4/3/2024 12:22,VA,1,3,1,1,3,3,3,3
128760599,4/3/2024 12:24,CA,1,3,3,1,3,1,3,2
128760798,4/3/2024 12:26,IN,1,3,4,1,1,1,2,2
128760899,4/3/2024 12:27,NC,1,2,1,1,4,1,3,4
128761181,4/3/2024 12:29,IL,1,3,3,1,2,1,3,2
128761269,4/3/2024 12:29,PA,1,3,3,1,1,1,3,3
128761288,4/3/2024 12:30,CA,2,3,4,1,2,3,3,2
128761361,4/3/2024 12:30,SC,3,1,3,3,3,3,3,2
128761368,4/3/2024 12:30,NC,2,1,3,1,3,1,3,2
128761408,4/3/2024 12:31,OR,1,3,3,2,2,3,3,4
128761492,4/3/2024 12:32,CA,1,3,1,1,2,1,3,4
128761504,4/3/2024 12:32,CA,1,3,1,2,1,1,3,2
128761544,4/3/2024 12:32,TX,3,3,3,1,1,1,3,4
128761562,4/3/2024 12:32,OH,1,3,1,1,2,3,3,3
128761584,4/3/2024 12:33,TX,3,2,3,1,1,4,3,2
128761600,4/3/2024 12:33,CA,1,3,4,1,3,1,2,4
128761603,4/3/2024 12:33,GA,1,3,4,1,4,1,2,4
128761693,4/3/2024 12:34,PA,2,3,1,3,1,4,3,4
128761733,4/3/2024 12:34,TX,2,3,1,4,1,1,4,1
128761819,4/3/2024 12:35,TX,2,3,1,3,2,2,3,2
128761830,4/3/2024 12:35,NC,3,3,4,2,2,1,3,2
128761873,4/3/2024 12:35,FL,1,3,4,1,2,1,3,2
128761883,4/3/2024 12:35,IL,2,3,3,1,4,1,3,4
128761886,4/3/2024 12:35,UT,2,3,3,1,1,1,2,2
128761901,4/3/2024 12:35,IN,2,3,2,2,4,4,3,2
128761919,4/3/2024 12:35,PA,2,2,4,3,1,3,2,4
128761984,4/3/2024 12:36,PA,2,3,4,1,2,1,3,3
128761990,4/3/2024 12:36,IN,2,3,4,3,2,4,2,1
128761995,4/3/2024 12:36,OH,2,3,3,2,2,1,3,4
128762018,4/3/2024 12:36,TX,2,3,3,2,2,1,3,4
128762037,4/3/2024 12:36,FL,1,1,1,1,2,3,3,3
128762045,4/3/2024 12:36,,3,3,4,2,1,3,3,3
128762072,4/3/2024 12:37,WV,1,3,4,1,3,1,3,2
128762152,4/3/2024 12:37,WI,2,3,3,1,2,1,3,4
128762212,4/3/2024 12:38,PA,1,3,1,2,2,4,3,3
128762264,4/3/2024 12:38,AL,1,4,1,2,1,4,3,4
128762280,4/3/2024 12:38,CA,1,3,1,2,3,1,3,3
128762284,4/3/2024 12:38,MN,2,3,1,2,1,1,3,2
128762332,4/3/2024 12:39,OH,1,3,1,2,3,1,3,2
128762356,4/3/2024 12:39,NC,3,3,4,2,2,1,3,3
128762411,4/3/2024 12:39,CT,2,3,1,1,2,1,3,4
128762486,4/3/2024 12:40,,1,3,3,4,3,1,3,2
128762509,4/3/2024 12:40,OR,1,1,3,2,1,1,3,2
128762534,4/3/2024 12:40,NV,3,3,2,1,2,1,3,4
128762605,4/3/2024 12:41,IN,1,3,3,1,3,2,3,2
128762613,4/3/2024 12:41,IL,2,1,3,2,4,1,2,2
128762789,4/3/2024 12:41,FL,1,3,3,1,2,1,3,4
128762791,4/3/2024 12:41,IN,1,3,4,2,2,1,3,2
128762807,4/3/2024 12:41,MA,2,3,3,2,2,1,3,2
