Response ID,Timestamp (mm/dd/yyyy),Region,You are one step away from reaching the next level in an online game. What would you choose to accelerate your progress towards that goal? ,What approach would you prefer to earn a free smartwatch from the fitness program organized by your community? ,Your favorite restaurant is offering a promotion. Which of the following activities would you choose to do in order to receive the giveaway? ,"When playing board games with your friends, which of the following options best describes your strategy?",You participate in a lottery to win a pair of concert tickets featuring a popular band. What would you do to win the tickets?,"When engaging in a new game for the very first time, which of the following options best reflects your approach to playing?","When looking for a credit card, which of the following factors holds the highest importance to you?","When coordinating an event, what matters most to you?"
134237557,06/05/2024 8:03,NY,1,3,1,1,2,1,2,4
134237984,06/05/2024 8:07,CA,1,3,1,1,1,1,3,2
134239081,06/05/2024 8:18,MI,1,1,1,2,1,1,2,4
134244735,06/05/2024 8:53,OK,2,3,1,1,2,1,3,1
134245195,06/05/2024 8:58,ID,2,3,1,1,2,1,3,4
134247472,06/05/2024 9:18,MN,2,3,3,2,3,1,3,2
134248048,06/05/2024 9:24,NJ,1,3,1,1,3,2,2,2
134249456,06/05/2024 9:39,IA,1,3,1,3,2,3,3,1
134257999,06/05/2024 11:19,FL,1,4,1,3,4,1,3,1
134258789,06/05/2024 11:29,OH,1,3,1,1,1,1,3,2
134259323,06/05/2024 11:37,TX,2,3,1,3,1,1,3,2
134259907,06/05/2024 11:46,AL,1,3,1,1,2,1,2,2
134260357,06/05/2024 11:52,WI,1,3,3,2,2,1,3,4
134260439,06/05/2024 11:53,IN,2,3,1,1,1,3,3,4
134261224,06/05/2024 11:56,CA,1,3,1,2,4,1,3,4
134262063,06/05/2024 12:06,NC,1,3,3,2,3,1,3,2
134263129,06/05/2024 12:15,CA,2,3,4,1,2,3,3,4
134263337,06/05/2024 12:17,NY,4,4,3,1,3,1,3,4
134263411,06/05/2024 12:18,PA,1,3,3,2,3,1,3,2
134264076,06/05/2024 12:25,NH,1,3,1,2,3,1,3,2
134264953,06/05/2024 12:33,OR,1,3,1,1,1,1,3,4
134266124,06/05/2024 12:46,IN,1,2,2,3,4,1,3,4
134266312,06/05/2024 12:47,SD,3,3,3,2,3,1,3,2
134266321,06/05/2024 12:48,OR,1,3,3,3,2,1,3,4
134271297,06/05/2024 13:02,WA,2,2,1,1,4,1,3,2
134275383,06/05/2024 13:08,CA,1,3,1,1,1,1,3,4
134276175,06/05/2024 13:16,PA,1,3,4,1,2,1,3,2
134276809,06/05/2024 13:22,TX,2,3,1,1,2,1,3,2
134277746,06/05/2024 13:32,SC,3,1,4,1,3,3,2,2
134279106,06/05/2024 13:41,NY,1,3,1,1,3,1,3,4
134280170,06/05/2024 13:49,IN,1,3,1,2,4,1,3,1
134280984,06/05/2024 13:59,PA,3,1,4,1,3,1,3,2
134281498,06/05/2024 14:04,FL,3,3,2,3,3,2,3,4
134282299,06/05/2024 14:13,MO,2,3,1,2,1,1,3,4
134283677,06/05/2024 14:26,CA,2,3,4,1,2,1,3,2
134284687,06/05/2024 14:39,NV,1,3,1,3,2,2,3,2
134284808,06/05/2024 14:40,CA,3,3,4,2,2,1,3,3
134285070,06/05/2024 14:43,DC,1,3,1,1,2,1,3,4
134285107,06/05/2024 14:44,NJ,1,3,1,1,2,1,3,4
134285889,06/05/2024 14:54,GA,1,3,1,1,4,3,3,4
134285963,06/05/2024 14:55,PA,2,1,4,3,1,1,3,3
134285970,06/05/2024 14:55,NE,2,1,4,1,2,1,3,2
134286039,06/05/2024 14:56,TX,2,3,4,1,1,1,3,4
134286053,06/05/2024 14:56,MA,3,3,3,1,2,4,3,4
134286901,06/05/2024 15:06,AZ,1,3,4,1,4,1,3,4
134289759,06/05/2024 15:16,TX,2,3,3,3,2,1,3,4
134290279,06/05/2024 15:23,TN,3,3,2,1,2,1,3,2
134290555,06/05/2024 15:27,OH,4,2,2,3,3,2,2,3
134291319,06/05/2024 15:37,NJ,3,3,4,2,2,4,3,2
134292808,06/05/2024 15:58,AL,3,3,1,1,1,4,3,4
134292971,06/05/2024 16:01,OH,2,3,3,1,2,1,3,2
134293204,06/05/2024 16:05,OH,1,3,1,2,4,4,4,2
134293722,06/05/2024 16:13,NY,1,3,1,1,3,1,2,4
134293965,06/05/2024 16:17,WI,1,1,4,2,1,4,3,4
134294525,06/05/2024 16:27,FL,2,3,3,3,2,1,3,2
134296742,06/05/2024 17:09,TX,2,3,1,1,1,1,3,2
134297793,06/05/2024 17:29,TX,2,3,1,1,1,1,3,2
134298253,06/05/2024 17:39,PA,3,3,4,2,1,4,3,4
134299364,06/05/2024 18:01,MI,1,3,1,1,2,1,3,4
134300411,06/05/2024 18:20,NC,2,3,1,3,2,3,3,1
134304178,06/05/2024 19:42,MI,2,3,3,2,2,1,3,4
134343154,06/06/2024 5:00,TN,2,3,1,1,2,1,3,3
134346315,06/06/2024 5:17,TX,1,2,1,2,2,1,3,2
134346664,06/06/2024 5:26,TX,2,2,4,2,4,1,2,4
134348203,06/06/2024 6:00,FL,2,3,3,1,2,1,3,2
134348584,06/06/2024 6:06,OH,2,3,1,3,2,1,3,4
134348978,06/06/2024 6:13,NY,1,3,1,2,4,4,3,2
134349001,06/06/2024 6:13,OH,2,3,1,2,2,1,3,2
134352292,06/06/2024 7:02,MN,1,3,3,1,2,4,3,2
134353089,06/06/2024 7:13,CA,2,3,3,2,4,1,3,2
134355547,06/06/2024 7:38,TN,2,1,3,2,2,1,3,2
134362587,06/06/2024 7:57,FL,1,3,4,1,2,1,3,4
134363271,06/06/2024 7:59,OH,1,3,1,3,1,1,3,2
134367676,06/06/2024 8:10,NC,2,1,1,3,3,1,3,2
134369313,06/06/2024 8:22,OH,2,3,4,2,2,1,3,2
134371404,06/06/2024 8:27,NY,1,3,4,1,4,1,3,4
134385582,06/06/2024 9:31,CA,3,3,3,1,1,3,2,2
134388049,06/06/2024 9:51,DC,1,3,4,3,2,1,3,2
134389996,06/06/2024 10:08,MN,1,3,3,1,2,2,2,2
134391774,06/06/2024 10:21,MI,2,3,1,2,3,4,3,2
134392962,06/06/2024 10:36,VA,1,3,4,1,1,1,3,2
134395131,06/06/2024 10:59,TX,3,3,1,3,1,1,3,3
134396023,06/06/2024 11:05,CA,1,3,1,2,4,1,3,1
134397546,06/06/2024 11:23,OR,1,2,3,1,1,4,3,4
134399747,06/06/2024 11:50,PA,2,2,4,1,2,1,3,4
134401724,06/06/2024 12:14,NV,2,3,4,2,2,1,3,2
