Achiever,Explorer,Socializer,Influencer,Susceptibility,Risk aversion,Age group,Tech savviness,Home ownership
2.4763,3.2578,1.1063999999999998,1.1592,More susceptible,Less risk averse,Silent,Follower,Owner
2.3163,2.2084,1.7681,1.7072,Least susceptible,Least risk averse,Gen-X (older),Follower,Owner
3.4119,2.1414999999999997,0.8974,1.5488999999999997,Most susceptible,Most risk averse,Millenial,Trendy,Renter
1.6227,2.6744000000000003,2.1900999999999997,1.5127,Least susceptible,Least risk averse,Gen-X (older),Experimenter,Owner
2.7198,0.3868,2.9986,1.9128,Most susceptible,Least risk averse,Millenial,Follower,Owner
1.4699000000000002,1.9045,3.1961999999999997,1.4294,Most susceptible,Least risk averse,Gen-Z,Trendy,Owner
2.8641,1.4744,2.6048,1.0565,More susceptible,Most risk averse,Gen-X (younger),Experimenter,Owner
2.4606,2.0917999999999997,1.2557999999999998,2.1915,Less susceptible,Less risk averse,Millenial,Trendy,Owner
1.848,2.8854000000000006,2.1407,1.1259,Less susceptible,Less risk averse,Gen-X (older),Follower,Owner
3.2629,2.6995000000000005,1.0317,1.0057,Less susceptible,Least risk averse,Millenial,Follower,Renter
1.8317,2.2815,2.9137,0.9728999999999999,Less susceptible,Less risk averse,Silent,Follower,Owner
1.6524999999999999,2.6597,1.2530000000000001,2.4347000000000003,Less susceptible,Most risk averse,Millenial,Trendy,Renter
1.7006000000000003,1.8393,2.3874,2.073,More susceptible,Least risk averse,Millenial,Trendy,Renter
3.8758,2.0843,1.0911000000000002,0.9485999999999999,Less susceptible,Least risk averse,Gen-Z,Experimenter,Renter
1.7403000000000002,3.2439,1.9445999999999999,1.0711,Most susceptible,Less risk averse,Gen-Z,Follower,Renter
1.7341,2.1576000000000004,2.3297999999999996,1.7784000000000002,Less susceptible,Least risk averse,Gen-X (younger),Experimenter,Owner
1.4481000000000002,2.7365,1.9329999999999998,1.8823,Less susceptible,Least risk averse,Gen-X (younger),Luddite,Renter
1.0825,3.2163000000000004,2.6887,1.0124,Less susceptible,Least risk averse,Gen-X (younger),Experimenter,Owner
1.7677,3.4246000000000008,1.7980000000000003,1.0096,More susceptible,Most risk averse,Gen-X (older),Experimenter,Owner
1.5023000000000002,2.6977,2.0402,1.7596000000000003,Less susceptible,More risk averse,Gen-X (younger),Trendy,Renter
1.6963000000000001,1.9991000000000003,2.5364999999999998,1.7679,Less susceptible,Least risk averse,Gen-Z,Trendy,Renter
2.3806000000000003,2.3125999999999998,1.5077999999999998,1.7988,Less susceptible,More risk averse,Gen-X (younger),Experimenter,Owner
1.8832,3.6606000000000005,1.6099,0.8462,Less susceptible,Least risk averse,Gen-X (younger),Trendy,Owner
3.3501,1.4561,1.6439,1.5497999999999998,Less susceptible,Least risk averse,Millenial,Trendy,Renter
1.7258,2.5133,2.3325000000000005,1.4282,Less susceptible,Least risk averse,Millenial,Trendy,Owner
3.2954000000000003,2.0575,0.9845999999999999,1.6622000000000001,Less susceptible,Less risk averse,Gen-X (older),Experimenter,Renter
2.4566000000000003,1.9416000000000002,2.0817,1.5377,Less susceptible,Most risk averse,Gen-Z,Trendy,Renter
2.5823,2.8477000000000006,1.762,0.8077999999999999,Less susceptible,Most risk averse,Gen-X (younger),Follower,Owner
1.6265,3.2911,0.9180999999999999,2.164,Less susceptible,Least risk averse,Gen-X (younger),Trendy,Owner
2.6002,3.6009,1.0757,0.723,Less susceptible,Least risk averse,Gen-X (younger),Experimenter,Owner
2.3614,1.0557,3.114,1.4687,Less susceptible,Least risk averse,Millenial,Experimenter,Owner
1.8832,3.6606000000000005,1.6099,0.8462,Less susceptible,Least risk averse,Millenial,Follower,Renter
1.6902000000000001,2.2257000000000002,2.9316999999999998,1.1522000000000001,Less susceptible,Less risk averse,Gen-X (younger),Experimenter,Owner
3.4119,2.1414999999999997,0.8974,1.5488999999999997,Less susceptible,Most risk averse,Millenial,Experimenter,Renter
2.4822,2.7056000000000004,1.2750000000000001,1.5369,Less susceptible,Most risk averse,Gen-X (younger),Trendy,Owner
3.3099,2.114,1.5938,0.9820999999999999,More susceptible,More risk averse,Millenial,Experimenter,Renter
3.7641,2.6306000000000003,1.0793000000000001,0.5258,Less susceptible,Least risk averse,Millenial,Trendy,Renter
3.0895000000000006,1.2179,2.3868000000000005,1.3058999999999998,Most susceptible,Most risk averse,Millenial,Trendy,Owner
1.7369,3.2876000000000003,1.2478000000000002,1.7274,Less susceptible,Least risk averse,Gen-X (older),Follower,Owner
1.7425000000000002,2.2647000000000004,2.4872,1.5056,Less susceptible,Least risk averse,Gen-X (younger),Follower,Owner
2.269,0.9391,2.7245000000000004,2.0850999999999997,More susceptible,Least risk averse,Gen-Z,Experimenter,Renter
2.3192000000000004,2.5658000000000003,1.5331000000000004,1.5817999999999999,More susceptible,More risk averse,Boomer,Trendy,Owner
2.5652,3.5836000000000006,1.1340000000000001,0.717,Less susceptible,Less risk averse,Millenial,Trendy,Owner
1.8787999999999998,3.5742000000000003,1.3449,1.2018,Least susceptible,Less risk averse,Gen-Z,Luddite,Renter
2.3547000000000002,1.7434,2.0073000000000003,1.8942999999999999,Most susceptible,More risk averse,Boomer,Follower,Owner
1.7836,3.7087000000000003,0.9861,1.5214,Less susceptible,Least risk averse,Millenial,Trendy,Renter
1.0578,2.3012,3.6310000000000002,1.0099,Less susceptible,Less risk averse,Gen-X (younger),Trendy,Renter
2.2883000000000004,2.0358,2.2188,1.4747999999999999,Less susceptible,Least risk averse,Millenial,Trendy,Renter
2.5539,3.0699000000000005,0.9704,1.4056,Less susceptible,Most risk averse,Gen-X (younger),Trendy,Owner
1.1009,3.573200000000001,2.1698,1.156,Least susceptible,Most risk averse,Gen-X (younger),Trendy,Owner
1.8519999999999999,2.9796000000000005,1.0399,2.1284000000000005,More susceptible,Least risk averse,Millenial,Experimenter,Renter
1.5944000000000003,3.3420000000000005,2.0559000000000003,1.0076,Less susceptible,Less risk averse,Gen-X (older),Trendy,Owner
2.441,2.0736000000000003,1.4329,2.07,Most susceptible,Most risk averse,Gen-Z,Trendy,Renter
1.6892000000000003,1.4862,3.0535,1.7713,Less susceptible,Least risk averse,Gen-Z,Trendy,Renter
3.0921,1.0663,2.0607,1.7987,More susceptible,Most risk averse,Silent,Follower,Owner
2.5343,2.1627000000000005,2.15,1.153,Less susceptible,Most risk averse,Silent,Trendy,Owner
3.2233000000000005,2.4289,1.1162999999999998,1.2312,Most susceptible,Least risk averse,Millenial,Trendy,Renter
1.4301,2.0843,3.3846000000000003,1.101,Less susceptible,Least risk averse,Gen-Z,Follower,Renter
3.1901,2.5237,1.2967000000000002,0.9891999999999999,More susceptible,More risk averse,Silent,Follower,Owner
3.0785,2.2869,1.7936999999999999,0.8406,Most susceptible,Least risk averse,Gen-Z,Trendy,Owner
2.6998,2.2097999999999995,1.7026000000000001,1.3876,Less susceptible,Least risk averse,Gen-Z,Follower,Renter
3.7603,1.8483,1.2792000000000003,1.1119999999999999,Less susceptible,Least risk averse,Millenial,Trendy,Owner
1.0825,3.2163000000000004,2.6887,1.0124,More susceptible,Most risk averse,Gen-X (younger),Trendy,Owner
2.5145000000000004,2.0497000000000005,2.5512000000000006,0.8846999999999999,Less susceptible,Most risk averse,Gen-Z,Experimenter,Owner
2.5539,1.5595,1.8678,2.0188,Less susceptible,Less risk averse,Boomer,Luddite,Renter
2.1904,1.3065000000000002,3.3827999999999996,1.1205,Most susceptible,Least risk averse,Boomer,Follower,Owner
2.3990000000000005,1.8137,2.7393000000000005,1.0481,Less susceptible,Most risk averse,Gen-X (younger),Trendy,Renter
1.7836,3.7087000000000003,0.9861,1.5214,Less susceptible,Least risk averse,Millenial,Experimenter,Owner
2.5192,3.375,0.6879000000000001,1.4176,Less susceptible,Least risk averse,Gen-X (younger),Experimenter,Renter
1.0392000000000001,2.9137,1.8648,2.1822,Less susceptible,Most risk averse,Gen-X (younger),Experimenter,Owner
1.5041000000000002,1.2953,2.273,2.9276000000000004,Less susceptible,Most risk averse,Gen-Z,Trendy,Renter
3.2910999999999997,2.7032,0.49939999999999996,1.5058999999999998,Less susceptible,Least risk averse,Gen-X (younger),Experimenter,Owner
0.9255999999999999,2.6536,2.3,2.1208,Least susceptible,More risk averse,Gen-X (younger),Experimenter,Owner
2.48,2.5217,1.9774000000000003,1.0208,Less susceptible,Most risk averse,Millenial,Trendy,Owner
1.7691000000000001,2.9643,1.6272,1.639,Most susceptible,Most risk averse,Gen-X (younger),Trendy,Owner
1.009,3.5159000000000002,2.4112,1.0638,Less susceptible,Less risk averse,Gen-X (younger),Experimenter,Owner
1.6150000000000002,2.7798,1.3249000000000002,2.2801000000000005,Less susceptible,Most risk averse,Gen-X (older),Trendy,Renter
1.7987000000000002,2.6138000000000003,1.7399999999999998,1.8473,Less susceptible,Least risk averse,Gen-X (older),Trendy,Owner
1.9383000000000001,3.0060000000000002,1.7698000000000003,1.3035,Most susceptible,Least risk averse,Millenial,Experimenter,Renter
3.9151,1.4559,1.518,1.1108999999999998,Less susceptible,Most risk averse,Gen-X (younger),Follower,Owner
0.6501,2.1761000000000004,2.0721000000000003,3.1015,More susceptible,Less risk averse,Boomer,Trendy,Owner
1.8247,3.6754000000000007,1.3796,1.1200999999999999,Most susceptible,More risk averse,Millenial,Trendy,Renter
1.8515000000000001,2.5404,1.9388999999999996,1.6692000000000002,Most susceptible,Less risk averse,Gen-X (older),Experimenter,Owner
2.936,1.8061,2.1981,1.0774000000000001,Less susceptible,Less risk averse,Gen-X (younger),Follower,Owner
2.1698000000000004,1.3719000000000001,2.701,1.7748000000000002,Less susceptible,Most risk averse,Gen-X (older),Experimenter,Owner
1.7907,1.3565,3.5226,1.3304,Less susceptible,Less risk averse,Gen-X (older),Trendy,Renter
2.5826000000000002,3.1409000000000002,1.2224000000000002,1.0541,Less susceptible,Most risk averse,Gen-X (younger),Trendy,Owner
2.5810000000000004,2.7012,1.1801,1.5374999999999999,Less susceptible,More risk averse,Gen-Z,Trendy,Renter
2.8722,1.7550000000000001,1.9959000000000002,1.3766999999999998,Less susceptible,Least risk averse,Gen-X (older),Experimenter,Owner
1.5531,0.6114,2.3317,3.504,Most susceptible,Most risk averse,Gen-X (younger),Trendy,Owner
3.047,1.299,1.8369999999999997,1.8169000000000002,Less susceptible,Least risk averse,Millenial,Trendy,Renter
1.6999,2.6182000000000003,1.8349000000000002,1.8467,Less susceptible,Most risk averse,Millenial,Follower,Renter
1.6041,1.8651,1.9087,2.6219,Most susceptible,Least risk averse,Millenial,Experimenter,Renter
2.6295,2.3286000000000002,2.1124,0.9294,Less susceptible,Least risk averse,Silent,Follower,Renter
0.9485,1.8364,3.5461,1.669,More susceptible,Most risk averse,Millenial,Experimenter,Owner
3.9415,1.1902,1.7528000000000001,1.1154,More susceptible,More risk averse,Millenial,Trendy,Renter
3.7973000000000003,1.1585,1.9308,1.1135,Less susceptible,More risk averse,Millenial,Trendy,Renter
1.6332,1.8875000000000002,2.2481,2.2487999999999997,Less susceptible,Less risk averse,Boomer,Follower,Owner
1.3470000000000002,1.4205,4.190300000000001,1.0422,Least susceptible,Least risk averse,Millenial,Trendy,Owner
3.2921000000000005,2.4268,1.5016999999999998,0.7793000000000001,Less susceptible,Most risk averse,Millenial,Luddite,Renter
2.4915000000000003,3.5268000000000006,1.0078,0.9737,More susceptible,Most risk averse,Gen-X (younger),Trendy,Renter
2.0112,3.5079,1.0836,1.3971,Less susceptible,Most risk averse,Gen-Z,Experimenter,Renter
0.9367,1.9233000000000002,2.6663,2.4736,Less susceptible,Least risk averse,Silent,Luddite,Owner
1.7721,2.7036,1.9557000000000002,1.5685,Less susceptible,More risk averse,Gen-X (younger),Follower,Renter
1.8853,2.7114000000000003,1.4111000000000002,1.9919999999999998,Less susceptible,Least risk averse,Millenial,Trendy,Owner
2.2952000000000004,1.3135000000000003,1.8415999999999997,2.5495,Less susceptible,Most risk averse,Gen-Z,Trendy,Owner
1.6508000000000003,2.8276999999999997,2.3028000000000004,1.2186000000000001,Less susceptible,Most risk averse,Gen-X (older),Trendy,Renter
1.7760000000000002,1.4707000000000001,2.5410000000000004,2.2122,Most susceptible,More risk averse,Boomer,Trendy,Owner
2.4865,2.0599,1.7602000000000002,1.6931999999999998,Less susceptible,Less risk averse,Gen-X (older),Experimenter,Owner
0.9862,1.9971,3.2172000000000005,1.7995,Less susceptible,More risk averse,Gen-X (younger),Experimenter,Owner
2.5652,3.5836000000000006,1.1340000000000001,0.717,Less susceptible,Most risk averse,Gen-X (older),Experimenter,Owner
1.8419,3.1401000000000003,1.3621999999999999,1.6555000000000002,Most susceptible,Least risk averse,Gen-X (younger),Trendy,Renter
1.7684,3.4397,1.0847,1.7068999999999999,Most susceptible,Least risk averse,Gen-X (younger),Follower,Owner
3.7296,1.3800000000000001,2.1526,0.7376,Less susceptible,More risk averse,Gen-Z,Follower,Renter
1.7854,3.1116,1.8994,1.2212,Less susceptible,More risk averse,Gen-X (older),Experimenter,Renter
1.0330000000000001,3.1425,2.1378,1.6864999999999999,Most susceptible,Least risk averse,Gen-X (younger),Trendy,Renter
1.8590999999999998,3.6022999999999996,1.7071,0.8313999999999999,More susceptible,Least risk averse,Gen-X (younger),Follower,Renter
2.1442,1.0409,3.4321,1.3828,Most susceptible,Most risk averse,Gen-X (younger),Trendy,Owner
1.6886999999999999,2.8366000000000007,1.4510999999999998,2.0234,Most susceptible,Most risk averse,Millenial,Follower,Owner
1.8603999999999998,2.1418,2.4159,1.5819,Least susceptible,Least risk averse,Gen-X (older),Trendy,Owner
3.0296000000000003,0.47819999999999996,3.2625,1.2299,Most susceptible,Least risk averse,Millenial,Follower,Renter
