Achiever,Explorer,Socializer,Influencer,Risk aversion,Susceptibility,Age group,Home ownership,Tech savviness
2,2,1,3,Most risk averse,Less susceptible,Gen-Z,Renter,Trendy
2,3,2,1,Less risk averse,Least susceptible,Gen-Z,Renter,Follower
2,3,2,1,More risk averse,More susceptible,Gen-X (younger),Owner,Luddite
3,1,3,1,Less risk averse,Less susceptible,Gen-X (older),Renter,Follower
2,2,2,2,More risk averse,Least susceptible,Gen-X (older),Owner,Luddite
3,0,3,2,More risk averse,Most susceptible,Gen-Z,Renter,Experimenter
4,1,2,1,Most risk averse,Least susceptible,Gen-Z,Owner,Experimenter
2,2,2,2,Least risk averse,More susceptible,Millenial,Renter,Follower
2,4,2,0,Less risk averse,More susceptible,Gen-Z,Renter,Follower
2,2,2,2,Most risk averse,Most susceptible,Boomer,Owner,Luddite
2,5,1,0,Most risk averse,Less susceptible,Gen-X (older),Renter,Trendy
1,2,2,3,Less risk averse,More susceptible,Boomer,Owner,Trendy
3,1,2,2,Most risk averse,Most susceptible,Gen-X (older),Renter,Trendy
2,1,2,3,Least risk averse,Least susceptible,Millenial,Renter,Follower
3,0,4,1,Most risk averse,Most susceptible,Millenial,Owner,Luddite
4,2,0,2,Less risk averse,Less susceptible,Boomer,Owner,Experimenter
2,5,1,0,Most risk averse,Least susceptible,Gen-X (older),Owner,Experimenter
0,4,2,2,Less risk averse,More susceptible,Silent,Renter,Trendy
3,3,1,1,Most risk averse,Least susceptible,Silent,Owner,Trendy
2,1,0,5,Least risk averse,More susceptible,Silent,Renter,Luddite
1,5,1,1,Most risk averse,Less susceptible,Millenial,Renter,Luddite
2,2,2,2,More risk averse,Less susceptible,Silent,Renter,Follower
1,2,4,1,More risk averse,More susceptible,Gen-Z,Owner,Follower
0,3,3,2,Least risk averse,Less susceptible,Millenial,Renter,Follower
3,2,1,2,More risk averse,Least susceptible,Silent,Renter,Follower
2,2,3,1,More risk averse,More susceptible,Millenial,Owner,Follower
3,1,0,4,Least risk averse,Less susceptible,Boomer,Owner,Trendy
3,3,1,1,More risk averse,Least susceptible,Gen-Z,Renter,Luddite
1,4,2,1,More risk averse,Least susceptible,Gen-X (older),Renter,Luddite
